brand_name,generic_name,num_mfr,spend_2019,claims_2019,benes_2019,unit_cost_2019,spend_2020,claims_2020,benes_2020,unit_cost_2020,spend_2021,claims_2021,benes_2021,unit_cost_2021,spend_2022,claims_2022,benes_2022,unit_cost_2022,spend_2023,claims_2023,benes_2023,unit_cost_2023,growth_rate
Cinvanti,Aprepitant,1,70302.38,163.0,51.0,19.335088009,54703.78,101.0,38.0,21.104853395,271607.62,152.0,45.0,23.875494023,150017.6,210.0,59.0,24.47269168,141770.04,201,54.0,17.738993994,-0.021308744
Cipro,Ciprofloxacin,1,375772.6,2059.0,1635.0,1.4833286158,394551.03,2197.0,1772.0,1.4895108313,415819.54,2268.0,1789.0,1.4857051212,387641.27,2153.0,1798.0,1.5116147858,396416.32,2217,1810.0,1.509751261,0.0044238269
Cipro,Ciprofloxacin HCl,1,72024.61,578.0,343.0,5.6352433387,69770.73,558.0,331.0,5.5947114155,55410.91,461.0,306.0,5.4320642488,36376.33,444.0,333.0,4.8222675181,28559.97,284,199.0,5.3026739115,-0.015092234
Cipro HC,Ciprofloxacin/Hydrocortisone,2,3402478.4,10321.0,9207.0,32.532228145,3124902.99,9505.0,8483.0,32.383588938,2973141.02,8953.0,7964.0,32.66767921,2802111.5,8230.0,7399.0,33.512791768,3172340.84,8182,7431.0,38.286314371,0.0415555512
Ciprodex,Ciprofloxacin HCl/Dexameth,1,,,179771.0,,12386.42,43.0,128036.0,34.406722222,4330478.12,16874.0,19435.0,33.690124904,6159648.34,23371.0,18390.0,34.667381478,6108769.23,22355,17816.0,35.978168631,0.0149981498
Ciprofloxacin HCl*,Ciprofloxacin HCl,20,40661103.86,5296754.0,3833051.0,0.5661650889,32685082.53,4844803.0,3471489.0,0.5114027051,30603480.3,4743943.0,3433570.0,0.5020088572,36252419.13,4687905.0,3410180.0,0.5977952205,39024544.1,4826355,3519833.0,0.6555852737,0.0373409581
Ciprofloxacin HCl-Fluocinolone,Ciprofloxacin HCl/Fluocinolone,1,,,,,,,281.0,,,,269.0,,41655.07,164.0,132.0,15.41638416,32998.84,143,110.0,14.794368976,-0.04034767
Ciprofloxacin-D5W,Ciprofloxacin In 5 % Dextrose,3,104734.39,2907.0,1218.0,0.0219710904,99964.38,2605.0,1187.0,0.0260337819,76116.73,2228.0,934.0,0.0211577431,64054.34,1904.0,738.0,0.0224804986,69354.84,1773,737.0,0.0245890247,0.0285429292
Ciprofloxacin-Dexamethasone,Ciprofloxacin HCl/Dexameth,4,,,,,8282312.68,45022.0,39241.0,23.981232261,35876821.82,203849.0,157396.0,23.048080778,36351097.6,223593.0,175636.0,21.290381626,36901389.68,237942,187648.0,20.314583874,-0.053809002
Cisplatin,Cisplatin,6,32766.06,546.0,206.0,0.3160974014,22492.02,471.0,156.0,0.3044098707,29247.85,563.0,182.0,0.3129821158,37713.1,608.0,231.0,0.3608527169,28138.21,512,210.0,0.3218966576,0.0045553835
Citalopram HBr,Citalopram Hydrobromide,19,65536065.9,8364657.0,1683016.0,0.1404433077,61933391.34,7948089.0,1603290.0,0.1331330374,59264037.03,7468941.0,1558615.0,0.1311334514,58986545.85,7163342.0,1504680.0,0.134948893,62854506.27,6897700,1454397.0,0.1487513394,0.0144717526
Citranatal B-Calm,Prenatal 48/Iron/Folic Acid/B6,1,1411.47,14.0,11.0,1.1202142857,3007.01,32.0,17.0,1.1932579365,3448.34,31.0,19.0,1.2631282051,2335.39,21.0,,1.2761693989,2486.32,20,,1.2369751244,0.0250970054
Claravis,Isotretinoin,1,1181230.38,4722.0,1637.0,5.3352726094,1033440.47,4722.0,1692.0,4.7799362075,960160.74,4234.0,1587.0,5.0838298268,795782.22,3670.0,1437.0,4.9216362974,718030.22,3510,1505.0,4.6120409095,-0.035762241
Clarinex,Desloratadine,1,,,524.0,,,,498.0,,6774.22,26.0,426.0,7.4936061947,402646.11,745.0,222.0,7.7099821921,289141.95,537,184.0,8.2081970703,0.0465945149
Clarinex-D 12 Hour,Desloratadine/Pseudoephedrine,1,,,761.0,,,,638.0,,126541.4,203.0,528.0,4.7129013035,690361.28,1261.0,437.0,5.0519661622,764352.92,1260,380.0,5.460833893,0.0764288046
Clarithromycin,Clarithromycin,8,11013224.63,305481.0,257008.0,1.4165576225,8582433.43,222018.0,182204.0,1.4486299921,7124165.33,202465.0,170029.0,1.2882995789,7039385.14,203150.0,171008.0,1.3018633709,5904020.55,198883,168843.0,1.1243367333,-0.056122706
Clarithromycin ER,Clarithromycin,2,580610.91,5870.0,10965.0,3.9227938206,426885.97,4018.0,5705.0,4.2186307047,364693.62,3336.0,3962.0,4.0376291287,542644.32,4373.0,3488.0,4.7593040028,568228.98,4821,3663.0,4.6467226306,0.0432486149
Clemastine Fumarate,Clemastine Fumarate,2,297252.61,3964.0,1169.0,0.9216920847,200322.57,2523.0,875.0,1.0211135663,1593366.96,2258.0,776.0,2.6293290194,24697826.9,5981.0,1655.0,10.47709032,21270220.21,5624,1746.0,8.8689216204,0.7612509474
Clenpiq,Sod Picosulf/Mag Ox/Citric Ac,1,4045528.16,28495.0,28092.0,0.4447312124,4099468.48,27808.0,27268.0,0.4611746336,11805905.54,74718.0,73133.0,0.4947612051,19613504.51,118596.0,115822.0,0.5172262258,33188398.65,190323,184930.0,0.5156240692,0.0376691203
Cleocin,Clindamycin Phosphate,1,217363.82,907.0,744.0,58.951519985,201436.7,816.0,632.0,59.353552983,186963.62,692.0,552.0,60.110777961,165477.7,533.0,411.0,62.971516322,166113.44,584,455.0,61.40941823,0.0102642709
Cleocin HCl,Clindamycin HCl,1,32924.26,107.0,67.0,13.613816907,1818.7,144.0,128.0,0.4306346978,705.16,90.0,76.0,0.3177698239,798.65,74.0,64.0,0.345204964,265.42,38,32.0,0.2701590109,-0.62467293
Cleocin Phosphate,Clindamycin Phosphate,1,16976.22,233.0,97.0,0.4055863734,11800.57,194.0,87.0,0.5771010893,8273.86,137.0,53.0,0.3303991444,3360.24,56.0,23.0,0.2307159924,715.27,22,12.0,0.4579193342,0.0308047385
Cleocin T,Clindamycin Phosphate,1,19666.38,81.0,31.0,3.4835889854,13462.51,106.0,51.0,1.8784598488,12290.67,105.0,60.0,1.6677033166,14706.1,134.0,79.0,1.7507261905,9762.16,80,28.0,1.8701455939,-0.144022937
Clickfine,"Pen Needle, Diabetic",1,131252.55,3376.0,1644.0,0.2493938333,93907.48,2782.0,1301.0,0.230896281,121181.11,2952.0,1402.0,0.2554120579,85103.05,1897.0,1010.0,0.2652097446,4575.16,207,93.0,0.2108920745,-0.041055137
Climara,Estradiol,1,5599124.07,30938.0,8315.0,18.238272668,5869462.56,31574.0,8383.0,18.142826836,5690657.16,29129.0,8017.0,18.821258559,4658567.33,23345.0,7379.0,19.429239466,3683130.56,19567,6601.0,18.035024621,-0.002797729
Climara Pro,Estradiol/Levonorgestrel,1,2987076.93,8661.0,2038.0,53.037587536,3255417.81,8506.0,1959.0,55.415139924,3361508.74,8262.0,1940.0,59.154414177,3539843.26,8203.0,1925.0,61.325720869,3615167.53,8059,1983.0,63.571209292,0.0463312056
Clindacin,Clindamycin Phosphate,1,,,,,,,,,,,,,,,,,8061.03,21,14.0,3.8385857143,
Clindacin P,Clindamycin Phosphate,1,20231.78,131.0,77.0,2.0930871095,7414.07,78.0,47.0,1.1938921095,28694.27,133.0,94.0,2.7772231901,45105.62,278.0,174.0,1.9953824375,32166.56,212,130.0,1.9670127805,-0.015411022
Clindagel,Clindamycin Phosphate,1,871228.28,269.0,132.0,22.408134774,472867.04,242.0,126.0,22.200330516,537624.44,243.0,110.0,23.50270776,408784.21,154.0,66.0,24.887927549,297317.28,127,57.0,24.592,0.0235216549
Clindamycin (Pediatric),Clindamycin Palmitate HCl,7,1102846.99,7680.0,5924.0,0.3421712173,921426.9,6811.0,5280.0,0.3176551411,792575.57,6947.0,5258.0,0.2729685158,736900.46,5981.0,4440.0,0.2992371497,623550.46,5743,4332.0,0.2710998119,-0.056544468
Clindamycin HCl,Clindamycin HCl,8,21964004.46,2288753.0,1795185.0,0.3667997565,19691393.56,2154143.0,1650908.0,0.348129653,21554967.8,2340627.0,1721262.0,0.3608188769,23923857.68,2279902.0,1673513.0,0.4149237458,21121257.18,2223151,1633351.0,0.3849425403,0.0121426305
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox,8,483943.55,3864.0,2490.0,2.5492430395,369489.17,3761.0,2126.0,1.9990444849,373220.04,4276.0,2333.0,1.7760352048,383167.88,4561.0,2507.0,1.6950195704,483477.13,6885,3716.0,1.4341637582,-0.133942204
Clindamycin Phos-Tretinoin,Clindamycin/Tretinoin,4,160524.1,346.0,214.0,9.5306342852,165987.95,346.0,192.0,9.4602212103,169819.76,308.0,178.0,9.157485551,312806.78,332.0,179.0,9.3452780955,216935.24,355,185.0,8.0660599131,-0.040853581
Clindamycin Phosphate*,Clindamycin Phosphate,15,47001262.08,478256.0,260672.0,1.1755784808,33125576.56,480413.0,244084.0,1.1300545058,31219467.51,505208.0,263089.0,1.0654856902,30611454.25,531934.0,274218.0,1.0020639447,28646532.36,590021,303687.0,0.8446686502,-0.079320047
